ID,elat,elon
10050130,-23.15,108.06
10051120,-56.66,138.52
10051130,-36.36,108.84
10053160,-14.46,123.73
10054120,-20.04,106.24
10054140,-45.99,153.81
10054160,-22.61,81.45
10055120,-49.9,122.61
10055130,-50.92,127.99
10055160,-33.3,86.93
10055210,-33.06,81.92
10056160,-21.11,113.24
10057120,-29.09,109.65
10057130,-31.1,115.28
10057160,-13.14,122.12
10058130,-44.89,117.63
10058160,-11.36,106.44
10059090,-21.01,96.69
10059120,-32.33,114.06
10059130,-59.22,130.15
100962,-36.26,61.56
100964,-53.38,315.38
100965,-44.37,329.15
100966,-39.02,66.12
100967,-57.24,309.8
100968,-57.31,308.92
100969,-57.92,308.55
100970,-57.57,309.88
100971,-39.97,103.75
101143,15.35,343.11
101144,12.71,342.69
10130040,70.35,221.28
10132070,71.79,198.2
10133080,-41.64,157.87
10133130,70.34,4.69
10139070,-41.06,169.15
101509,13.72,124.72
101510,22.35,120.6
101511,33.66,321.05
101512,20.69,121.06
101513,-45.82,76.82
101514,27.18,121.67
101515,28.45,308.11
101516,17.61,132.37
101517,34.38,300.8
101518,20.12,138.24
101519,24.75,125.47
101520,36.24,308.94
101521,16.61,343.45
101523,36.63,325.37
101524,33.73,331.97
101525,34.22,313.67
101526,15.86,180.52
101527,-57.67,339.75
101528,-35.11,152.46
101529,15.05,244.38
101530,-56.96,316.02
101531,-53.85,332.83
101532,-8.87,189.74
101533,7.23,282.08
101534,8.59,346.79
101535,-62.79,308.0
101536,-31.11,163.63
101537,-61.28,306.92
101538,3.56,260.21
101539,-13.35,253.06
101540,18.27,341.46
101541,14.06,309.07
101542,28.76,242.04
101543,35.33,297.15
101544,25.56,242.63
101545,32.92,241.43
101546,33.38,241.95
101547,29.93,236.85
101548,28.62,287.46
101549,25.72,234.97
101550,30.54,322.84
101551,30.89,287.11
101552,28.95,244.26
101553,-14.11,251.12
101554,25.85,234.71
101555,1.75,94.02
101556,27.51,297.09
101557,28.94,286.45
101558,36.86,288.22
101559,31.43,287.21
101560,-21.1,181.14
101561,1.79,94.07
101563,-16.15,100.79
101564,30.37,174.02
101565,26.87,271.7
101566,35.28,298.92
101567,18.29,272.19
101568,-14.47,51.34
101569,32.4,302.53
101570,-19.09,93.81
101571,-16.9,153.07
101572,-19.24,189.56
101573,-21.83,95.61
101574,43.69,319.35
101575,37.21,317.31
101577,35.25,299.87
101578,-1.03,79.8
101579,28.55,302.07
101580,-11.53,42.94
101581,20.93,203.52
101582,32.71,337.95
101583,-24.55,38.93
101584,36.16,301.15
101585,-38.88,28.0
101586,36.09,335.72
101587,-32.78,39.96
101588,-12.27,62.41
101589,-14.06,188.5
101590,-11.49,43.41
101591,-1.22,86.79
101592,1.72,82.9
101593,-26.09,94.27
101594,-29.99,93.51
101595,-14.4,50.76
101596,-13.98,58.74
101597,-59.07,305.74
101598,-57.38,325.51
101599,-56.88,316.52
101600,-43.41,327.17
101601,-51.18,334.41
101602,-56.32,318.82
101603,25.87,272.48
101604,29.14,272.91
101605,40.14,297.13
101606,26.07,280.15
101607,16.44,273.7
101608,22.59,275.7
101609,15.01,51.93
101610,-9.65,79.95
101611,-46.74,331.68
101612,-51.56,312.91
101613,-52.92,334.35
101614,-45.6,349.13
101615,29.61,309.05
101616,37.78,306.67
101617,28.3,296.53
101618,33.33,327.64
101619,34.17,303.3
101620,46.24,321.99
101622,42.45,313.39
101623,40.77,307.21
10162380,70.81,53.59
101624,76.7,222.93
101625,70.56,212.59
101626,69.11,187.46
101627,65.82,190.92
101628,70.55,183.54
101630,70.72,208.09
101631,75.21,350.54
101632,69.41,351.7
101633,5.28,275.14
10163390,58.44,354.99
101634,-37.41,32.43
101635,-14.49,183.89
101636,-18.78,209.34
